,id,title,popularity,vote_count,vote_average,original_language,release_date
6,591629.0,Lady Driver,267.579,0,0.0,en,2020-12-03
10,611605.0,1BR,220.10300000000000,0,0.0,en,2020-11-26
19,652004.0,The Wolf of Snow Hollow,80.518,0,0.0,en,2020-12-10
26,458576.0,Monster Hunter,53.043,0,0.0,en,2020-12-03
31,521007.0,Superintelligence,33.184,0,0.0,en,2020-11-26
39,680601.0,Up From the Streets - New Orleans: The City of Music,39.108000000000000,0,0.0,en,2020-11-19
61,632322.0,All My Life,19.572,0,0.0,en,2020-10-23
62,660637.0,Dance of the 41,23.341000000000000,0,0.0,es,2020-11-19
64,654028.0,The Christmas Chronicles 2,16.038,0,0.0,en,2020-11-25
66,615667.0,Ma Rainey's Black Bottom,17.266,0,0.0,en,2020-11-25
69,314514.0,El Viaje de Ana,24.098000000000000,0,0.0,en,2020-11-18
72,622977.0,The Last Vermeer,20.079,0,0.0,en,2020-11-20
75,611213.0,The Prom,15.991,0,0.0,en,2020-12-02
77,664162.0,A Rebel Born,15.751,0,0.0,en,2020-12-03
78,502033.0,Sound of Metal,15.446,0,0.0,en,2020-11-20
83,426793.0,Parallel,16.473,0,0.0,en,2020-12-11
84,723343.0,Date A Bullet: Nightmare or Queen,10.225,0,0.0,ja,2020-11-13
88,718356.0,Bela Shuru,17.311,0,0.0,en,2020-11-20
90,652962.0,Half Brothers,15.025,0,0.0,en,2020-12-04
91,615681.0,Carmen Sandiego,12.011,0,0.0,en,2020-12-01
94,609760.0,The Collected,12.881000000000000,0,0.0,en,2020-11-26
95,738894.0,Dear Werner (Walking on Cinema),15.116,0,0.0,en,2020-11-20
96,755862.0,Mater,16.734,0,0.0,fr,2020-11-18
99,712178.0,Gagarine,16.39,0,0.0,fr,2020-11-18
102,683535.0,Before The Wrath,11.762,0,0.0,en,2020-11-26
103,755881.0,En attendant la neige,15.607000000000000,0,0.0,fr,2020-11-18
106,727097.0,Archenemy,12.867,0,0.0,en,2020-12-11
107,646593.0,Wander,10.985,0,0.0,en,2020-12-04
108,589456.0,Find Your Voice,10.972000000000000,0,0.0,cn,2020-11-13
109,592777.0,Should the Wind Drop,15.249,0,0.0,fr,2020-11-18
110,745699.0,Family,15.166000000000000,0,0.0,nl,2020-11-18
111,614911.0,The Midnight Sky,13.128,0,0.0,en,2020-12-10
112,514466.0,Supercool,9.298,0,0.0,en,2020-11-28
113,744080.0,Dear Santa,11.31,0,0.0,en,2020-10-08
114,353047.0,Zappa,14.826000000000000,0,0.0,en,2020-11-27
116,702621.0,Lullaby,10.66,0,0.0,en,2020-12-01
117,718416.0,Smiley Face Killers,10.456,0,0.0,en,2020-12-08
119,713479.0,Creatures,11.872,0,0.0,en,2020-12-01
121,522772.0,Sk8r Grrl,12.022,0,0.0,en,2020-11-22
122,761457.0,Último Pesadelo,14.185,0,0.0,pt,2020-11-18
124,627103.0,"Love, Weddings and Other Disasters",10.852,0,0.0,en,2020-12-04
127,717380.0,SIX60: Till the Lights Go Out,11.555,0,0.0,en,2020-11-26
128,532961.0,Looking for Witch Apprentices,9.782,0,0.0,ja,2020-11-13
129,581734.0,Nomadland,13.468,0,0.0,en,2020-11-30
130,642208.0,Supernova,9.062000000000000,0,0.0,en,2020-11-27
134,633908.0,The Stand In,12.313000000000000,0,0.0,en,2020-12-03
135,628333.0,Wild Mountain Thyme,12.874,0,0.0,en,2020-12-11
138,655831.0,Tarung Sarung,12.23,0,0.0,id,2020-11-19
141,650747.0,Unfortunate stories,12.079,0,0.0,es,2020-11-19
142,754929.0,The Loss Adjuster,10.666000000000000,0,0.0,en,2020-11-27
145,572488.0,A Christmas Carol,10.626,0,0.0,en,2020-12-04
146,760054.0,Silent Night,11.548,0,0.0,en,2020-12-11
147,759306.0,Riam Sing,11.659,0,0.0,th,2020-11-19
148,642114.0,Deadly Illusions,11.491,0,0.0,ru,2020-11-19
149,566135.0,Tezuka's Barbara,11.448,0,0.0,ja,2020-11-20
150,583754.0,Young Blooded Wine,11.291000000000000,0,0.0,ru,2020-11-19
151,583757.0,Princess of the Row,9.078,0,0.0,en,2020-11-27
