,id,title,popularity,vote_count,vote_average,original_language,release_date
0,531219.0,Roald Dahl's The Witches,1497.1230000000000,698,6.9,en,2020-10-26
1,718444.0,Rogue,562.0830000000000,354,5.8,en,2020-08-20
2,594718.0,Sputnik,475.98200000000000,50,6.4,ru,2020-09-10
3,531499.0,The Tax Collector,444.615,179,6.0,en,2020-08-07
4,425001.0,The War with Grandpa,347.616,121,6.0,en,2020-08-27
5,726739.0,Cats & Dogs 3: Paws Unite,327.60900000000000,101,6.6,en,2020-10-02
7,595149.0,Death of Me,237.5,47,5.5,en,2020-10-02
8,501979.0,Bill & Ted Face the Music,220.44,260,6.3,en,2020-08-27
9,524047.0,Greenland,241.69300000000000,418,7.1,en,2020-07-29
11,413518.0,Pinocchio,190.127,772,6.7,it,2019-12-19
12,590995.0,The Craft: Legacy,181.735,111,6.4,en,2020-10-28
13,529203.0,The Croods: A New Age,133.132,3,5.7,en,2020-11-19
14,417466.0,Monos,112.04900000000000,185,6.8,es,2019-09-05
15,551804.0,Freaky,109.50400000000000,13,7.9,en,2020-11-11
16,520725.0,The Lost Prince,88.027,176,5.8,fr,2020-02-12
17,399363.0,Wendy,82.825,47,6.5,en,2020-02-28
18,587792.0,Palm Springs,83.34300000000000,690,7.5,en,2020-07-10
20,585244.0,I Still Believe,85.87800000000000,679,7.8,en,2020-03-12
21,390635.0,Fate/stay night: Heaven's Feel III. Spring Song,74.2,18,4.4,ja,2020-08-15
22,605499.0,Monsoon,70.569,7,4.3,en,2020-09-25
23,583132.0,Sadako,76.483,49,6.5,ja,2019-05-24
24,610201.0,The Pale Door,68.268,36,6.1,en,2020-08-21
25,527400.0,Come Away,54.13400000000000,7,5.9,en,2020-11-12
27,661950.0,Alone,62.501000000000000,15,6.1,en,2020-11-18
28,516632.0,The Empty Man,36.296,7,6.3,en,2020-10-22
29,585077.0,Children of the Sea,46.252000000000000,151,7.2,ja,2019-06-07
30,596161.0,Let Him Go,45.799,5,7.5,en,2020-11-05
32,547017.0,Shirley,45.762,15,7.0,en,2020-09-11
33,553604.0,Honest Thief,48.867,52,6.7,en,2020-03-12
34,680593.0,The Dark and the Wicked,29.588,15,6.0,en,2020-10-29
35,575446.0,New Order,44.905,11,6.0,es,2020-10-22
36,632632.0,Given,54.284,4,6.8,ja,2020-08-22
37,416153.0,Arctic Dogs,36.635,73,6.2,en,2019-11-01
38,480857.0,Radioactive,33.955,221,6.4,en,2019-09-06
40,7.8,/8eLXy49T36e0e1YhYvUQOCXNRhm.jpg,27.174,141,FALSE,en,/fhQoQfejY1hUcwyuLgpBrYs6uFt.jpg
41,6.8,/1DWIdrj8Qga8N3JaDYjJ8z59k2F.jpg,31.868000000000000,435615,FALSE,en,/oLQlUUSlI669r1bgQ7AlnjcrrvC.jpg
42,0.0,/35PMyh6kydJWEL1MbMNVkJgeTyI.jpg,25.239,520172,FALSE,en,/21upgpgdh32RxE85oAZOue4VVH5.jpg
43,7.2,/5NMxiETEUCT4297zrMdimNR5VqS.jpg,24.857,659959,FALSE,fr,/zv1GjWMRaVX3ZPox27UkBJqaMiR.jpg
44,0.0,/5HjzYTihkH7EvOWSE7KcsF6pBMM.jpg,20.7,522478,FALSE,en,/cycDz68DtTjJrDJ1fV8EBq2Xdpb.jpg
45,4.0,/8TKusadLJHQfsfwTBN9UBoHtY8l.jpg,27.349,602211,FALSE,en,/xZR3dm2wdKEFWJrqIVFnNyjhAQX.jpg
46,6.5,,25.764,650597,FALSE,it,/zcAbMLM9byICabsBYmjxFVmerwx.jpg
